"fecha","variable","valor usd oficial","porcentaje","total"
"2024-08-30","ITEC GASTOS","0","0","769983"
"2024-08-30","ITEC SUELDOS","0","0","769983"
"2024-08-30","ITEC CUENTAS","-31276.2","-4.06193","769983"
"2024-08-30","EG DEUDAS PROVEEDORES","175101","13.3143","1315130"
"2024-08-30","EG PASIVOS","175101","13.3143","1315130"
"2024-08-30","ITEC BANCO FUTURO","-4742.63","-0.61594","769983"
"2024-08-30","ITEC GASTOS INFRAESTRUCTURA","0","0","769983"
"2024-08-30","ITEC SERVICIOS","0","0","769983"
"2024-08-30","EG CUENTAS","27163.4","2.06546","1315130"
"2024-08-30","EG COMPRAS","145862","11.0911","1315130"
"2024-08-30","EG VENTAS","198324","15.0802","1315130"
"2024-08-30","ITEC CAJA USD","18775.8","2.43848","769983"
"2024-08-30","ITEC PEDIDOS PENDIENTES","0","0","769983"
"2024-08-30","ITEC DEUDAS FISCALES","8163.28","1.06019","769983"
"2024-08-30","ITEC IMPUESTOS","0","0","769983"
"2024-08-30","EG IMPUESTOS","0","0","1315130"
"2024-08-30","EG GASTOS","0","0","1315130"
"2024-08-30","EG ACTIVOS","1490230","113.314","1315130"
"2024-08-30","ITEC TOTAL","769983","100","769983"
"2024-08-30","EG DEUDAS CLIENTES","98124.2","7.46118","1315130"
"2024-08-30","EG TOTAL","1315130","100","1315130"
"2024-08-30","ITEC DEUDAS CLIENTES","4997.08","0.648986","769983"
"2024-08-30","ITEC DEUDAS PROVEEDORES","50764.8","6.59298","769983"
"2024-08-30","EG CAJA USD","75103.4","5.71072","1315130"
"2024-08-30","EG SERVICIOS","0","0","1315130"
"2024-08-30","ITEC PASIVOS","50764.8","6.59298","769983"
"2024-08-30","EG PEDIDOS PENDIENTES","21901.4","1.66534","1315130"
"2024-08-30","EG CAJA","569.334","0.0432911","1315130"
"2024-08-30","EG DEUDAS FISCALES","2203.53","0.167552","1315130"
"2024-10-31","EG CAJA USD","13796","1.1843","1164910"
"2024-10-31","EG IMPUESTOS",NULL,"0","1164910"
"2024-10-31","ITEC DEUDAS CLIENTES","3031.87","0.425132","713159"
"2024-10-31","EG COMPRAS","274862","23.5951","1164910"
"2024-10-31","EG PEDIDOS PENDIENTES","21098.3","1.81115","1164910"
"2024-10-31","EG PASIVOS","219118","18.8099","1164910"
"2024-10-31","ITEC GASTOS INFRAESTRUCTURA","0","0","713159"
"2024-10-31","ITEC SERVICIOS",NULL,"0","713159"
"2024-10-31","EG ACTIVOS","1384020","118.809","1164910"
"2024-10-31","EG GASTOS INFRAESTRUCTURA","0","0","1164910"
"2024-10-31","ITEC GASTOS","0","0","713159"
"2024-10-31","EG VENTAS","307654","26.4101","1164910"
"2024-10-31","EG DEUDAS CLIENTES","142071","12.1959","1164910"
"2024-10-31","ITEC DEUDAS PROVEEDORES","36667.6","5.14157","713159"
"2024-10-31","ITEC DEUDAS FISCALES","602.83","0.0845295","713159"
"2024-10-31","ITEC SUELDOS",NULL,"0","713159"
"2024-10-31","EG SUELDOS",NULL,"0","1164910"
"2024-10-31","ITEC STOCK","747957","104.879","713159"
"2024-10-31","EG CUENTAS","-31608.9","-2.71342","1164910"
"2024-10-31","EG CAJA","4030.12","0.34596","1164910"
"2024-10-31","EG DEUDAS PROVEEDORES","219118","18.8099","1164910"
"2024-10-31","ITEC BANCO FUTURO","-8834.46","-1.23878","713159"
"2024-10-31","EG DEUDAS FISCALES","396.787","0.0340616","1164910"
"2024-10-31","ITEC VENTAS","31444.4","4.40917","713159"
"2024-10-31","ITEC IMPUESTOS",NULL,"0","713159"
"2024-10-31","ITEC CUENTAS","-34798.4","-4.87948","713159"
"2024-10-31","EG STOCK","1196510","102.713","1164910"
"2024-10-31","EG BANCO FUTURO","6513.64","0.559154","1164910"
"2024-10-31","EG TOTAL","1164910","100","1164910"
"2024-10-31","ITEC COMPRAS","32896.7","4.61281","713159"
"2024-10-31","ITEC PEDIDOS PENDIENTES","0","0","713159"
"2024-10-31","ITEC CAJA","4222.75","0.592119","713159"
"2024-10-31","ITEC CAJA USD","3449.01","0.483624","713159"
"2024-10-31","ITEC ACTIVOS","749826","105.141","713159"
"2024-10-31","EG SERVICIOS",NULL,"0","1164910"
"2024-10-31","EG GASTOS","0","0","1164910"
"2024-10-31","ITEC PASIVOS","36667.6","5.14157","713159"
"2024-10-31","ITEC TOTAL","713159","100","713159"
